iter	RMSE
0	25.54682
1	25.29964648
2	25.05893382
3	24.79577759
4	24	24.02190601
5	23.79014293
6	23.54436148
7	23.3119094588	22.96632554
9	22.74236778
10	22.4852863
11	22.20253698
12	21.94028184
13	21.75377019
14	21.53184608
15	21.35974779
16	21.08426392
17	20.85134022
18	20.66352178
19	20.44543333
20	20.21051364221	20.00034462222	19.81900931223	19.5667650424	19.45049607
25	19.24147309
26	19.0478734
27	18.845835
28	18.60612061
29	18.38873062
30	18.21280595
31	18.00935506
32	17.77602799
33	17.61860482
34	17.45896168
35	17.28968756
36	17.10518231
37	16.91114141
38	16.73200624
39	16.56977827
40	16.37530622
41	16.21010022
42	16.05147134
43	15.88005114
44	15.74681831
45	15.61920801
46	15.47536593
47	15.30717387
48	15.17069945
49	15.03777284
50	14.91663362
51	14.76228827
52	14.63789696
53	14.49360705
54	14.32212993
55	14.17639545
56	14.04585789
57	13.92001362
58	13.78581263
59	13.6335463
60	13.49335512
61	13.37292838
62	13.23149418
63	13.06880871
64	12.94088959
65	12.79052547
66	12.67386953
67	12.56197646
68	12.45754326
69	12.31729944
70	12.21014144
71	12.10163329
72	11.94794947
73	11.83860707
74	11.72834773
75	11.6233764
76	11.50817133
77	11.39945815
78	11.29885736
79	11.17690296
80	11.09728397
81	10.99517839
82	10.8733937
83	10.80376087
84	10.68117305
85	10.5678387
86	10.4644693
87	10.36426386
88	10.27063316
89	10.16697611
90	10.07832376
91	9.972371814
92	9.883570946
93	9.781882507
94	9.686275622
95	9.59611799
96	9.511432085
97	9.427964234
98	9.350170512
99	9.248697571
100	9.15644868
101	9.063377325
102	8.982811551
103	8.881890984
104	8.793798542
105	8.718584711
106	8.638731287
107	8.555547816
108	8.478931945
109	8.379731492
110	8.296467448
111	8.219953876
112	8.153345015
113	8.076171494
114	8.005488209
115	7.935952682
116	7.863690311
117	7.785851215
118	7.702639726
119	7.643279709
120	7.561683187
121	7.492619451
122	7.421653111
123	7.351809447
124	7.284452197
125	7.20410941
126	7.136831239
127	7.058251966
128	6.995920963
129	6.933439483
130	6.867479442
131	6.790259093
132	6.717259319
133	6.640882625
134	6.570902787
135	6.515212367
136	6.443260158
137	6.377798838
138	6.311274716
139	6.244699122
140	6.158538892
141	6.09639584
142	6.047151108
143	5.99236829
144	5.932003922
145	5.877556424
146	5.82257704
147	5.759414374
148	5.703843823
149	5.64562272
150	5.58769078
151	5.534938683
152	5.480344518
153	5.418634842
154	5.3594247
155	5.311232559
156	5.265351286
157	5.20550503
158	5.158907768
159	5.107830271
160	5.065879298
161	5.01418231
162	4.954505463
163	4.906202899
164	4.855241129
165	4.791878802
166	4.749808874
167	4.704501984
168	4.653018608
169	4.607354744
170	4.561914533
171	4.518742787
172	4.471039246
173	4.428836165
174	4.392501279
175	4.346043914
176	4.306283856
177	4.266028559
178	4.225556597
179	4.176122248
180	4.135346908
181	4.088762647
182	4.042915154
183	4.000612837
184	3.965918485
185	3.921398828
186	3.88025759
187	3.835372296
188	3.795681656
189	3.757840434
190	3.713452229
191	3.674166189
192	3.636851638
193	3.592781136
194	3.553398198
195	3.51503081
196	3.481027157
197	3.438358701
198	3.396169965
199	3.358338107
200	3.323831627
201	3.293914879
202	3.259114408
203	3.221817471
204	3.19191586
205	3.155107652
206	3.123163019
207	3.093668563
208	3.063734658
209	3.034072305
210	2.998909338
211	2.963970063
212	2.935194331
213	2.902885622
214	2.873640806
215	2.839917417
216	2.811841569
217	2.779216964
218	2.750767227
219	2.720358794
220	2.696288766
221	2.662709728
222	2.632551391
223	2.608743283
224	2.579576675
225	2.551120021
226	2.525799788
227	2.495751559
228	2.470875677
229	2.448237762
230	2.420513126
231	2.395086565
232	2.368756843
233	2.346091167
234	2.322598225
235	2.300422453
236	2.272485855
237	2.251273226
238	2.229878961
239	2.202718219
240	2.180156016
241	2.15837596
242	2.1331058
243	2.107515166
244	2.087432694
245	2.063119759
246	2.044721943
247	2.023409381
248	2.003936802
249	1.981054746
250	1.960652528
251	1.940243823
252	1.921794195
253	1.903780577
254	1.879967236
255	1.861799616
256	1.84353628
257	1.826602866
258	1.809139001
259	1.790644547
260	1.771850078
261	1.750816668
262	1.734776422
263	1.717881145
264	1.69842161
265	1.683154775
266	1.664696951
267	1.649775165
268	1.63107478
269	1.615199811
270	1.597983149
271	1.58244501
272	1.567377387
273	1.553403434
274	1.539601148
275	1.524623145
276	1.507897454
277	1.49453136
278	1.480484018
279	1.465115814
280	1.450298113
281	1.437513092
282	1.423554906
283	1.411129688
284	1.395949398
285	1.383445273
286	1.368558607
287	1.355524673
288	1.341301395
289	1.329569404
290	1.315990207
291	1.303264208
292	1.28796054
293	1.275480831
294	1.262701761
295	1.250562416
296	1.238566157
297	1.227797701
298	1.215919161
299	1.203650486
300	1.193210957
301	1.182228963
302	1.172009887
303	1.161268404
304	1.150110454
305	1.139149607
306	1.128756603
307	1.118031562
308	1.107345077
309	1.094462352
310	1.085090749
311	1.074823464
312	1.06684406
313	1.058234754
314	1.04921499
315	1.038702165
316	1.028746116
317	1.020013915
318	1.008570428
319	0.9990754088
320	0.9900795554
321	0.9806488088
322	0.9724870806
323	0.9624800592
324	0.954486348
325	0.9459291617
326	0.9362391198
327	0.9260058038
328	0.9178975668
329	0.9083765701
330	0.8990668706
331	0.8897989011
332	0.8799386385
333	0.870936466
334	0.8633360555
335	0.8538404914
336	0.8439829524
337	0.8347588193
338	0.8268292876
339	0.8178570021
340	0.8089830482
341	0.8002574114
342	0.7921919844
343	0.7850712096
344	0.7776811973
345	0.7697824456
346	0.762865529
347	0.7557410414
348	0.7489771254
349	0.7420147822
350	0.7339349322
351	0.726084184
352	0.7193735237
353	0.7115684641
354	0.7050255506
355	0.698581535
356	0.6906455001
357	0.6819778488
358	0.6754159472
359	0.6689616764
360	0.6619522663
361	0.6557067208
362	0.6487707396
363	0.6426852627
364	0.6366964809
365	0.6307559278
366	0.6251339592
367	0.6193740982
368	0.6138741823
369	0.6091783637
370	0.6027668144
371	0.5972136897
372	0.5897550585
373	0.5852700241
374	0.5794590679
375	0.5750823573
376	0.5691759444
377	0.5649155379
378	0.5593684694
379	0.5552158355
380	0.549578517
381	0.545365344
382	0.5397024031
383	0.5356024716
384	0.5317195991
385	0.5257590424
386	0.5219756546
387	0.5166564056
388	0.511666631
389	0.506439349
390	0.5026846111
391	0.4974016324
392	0.4937372639
393	0.4886947659
394	0.485118021
395	0.4802220226
396	0.4747444502
397	0.4713040549
398	0.4665914071
399	0.4616684682
400	0.4576692428
401	0.4530317469
402	0.4482705937
403	0.4450386655
404	0.4403962179
405	0.4372424846
406	0.4328435807
407	0.4282977872
408	0.4252464048
409	0.4215560845
410	0.4171348135
411	0.4132592003
412	0.408942141
413	0.4054165803
414	0.4019547122
415	0.398131381
416	0.3943051031
417	0.3901507728
418	0.385153236
419	0.3826571486
420	0.3801069259
421	0.3752776604
422	0.3709169187
423	0.3668518431
424	0.3636763785
425	0.3598750683
426	0.3554765005
