iter	Passed	Remaining
0	171	85704
1	183	45707
2	194	32178
3	207	25712
4	252	24984
5	290	23934
6	301	21244
7	312	19214
8	349	19084
9	412	20190
10	430	19116
11	448	18225
12	464	17383
13	482	16749
14	512	16557
15	523	15849
16	542	15410
17	556	14899
18	574	14536
19	594	14260
20	608	13881
21	618	13440
22	631	13090
23	643	12772
24	656	12472
25	674	12292
26	692	12130
27	709	11966
28	726	11805
29	742	11637
30	767	11617
31	784	11477
32	817	11571
33	833	11425
34	852	11319
35	867	11186
36	901	11283
37	919	11174
38	941	11123
39	960	11047
40	978	10954
41	994	10849
42	1031	10961
43	1047	10853
44	1081	10937
45	1098	10839
46	1117	10770
47	1133	10674
48	1149	10584
49	1167	10510
50	1183	10422
51	1202	10363
52	1227	10351
53	1246	10291
54	1266	10246
55	1282	10171
56	1296	10078
57	1307	9962
58	1318	9852
59	1333	9775
60	1346	9688
61	1358	9596
62	1374	9536
63	1384	9434
64	1403	9390
65	1417	9319
66	1431	9249
67	1443	9167
68	1460	9122
69	1474	9058
70	1493	9025
71	1515	9007
72	1531	8957
73	1552	8936
74	1563	8862
75	1575	8788
76	1594	8758
77	1606	8689
78	1631	8693
79	1656	8694
80	1668	8630
81	1687	8604
82	1717	8629
83	1728	8559
84	1747	8530
85	1759	8469
86	1768	8396
87	1783	8348
88	1795	8290
89	1808	8239
90	1824	8198
91	1834	8136
92	1855	8121
93	1869	8074
94	1886	8043
95	1898	7990
96	1913	7949
97	1924	7892
98	1933	7831
99	1942	7770
100	1955	7723
101	1965	7670
102	1973	7607
103	1982	7550
104	1990	7487
105	2002	7443
106	2012	7389
107	2020	7332
108	2043	7330
109	2052	7277
110	2069	7251
111	2083	7217
112	2092	7164
113	2100	7112
114	2115	7083
115	2127	7042
116	2135	6991
117	2146	6950
118	2157	6906
119	2168	6866
120	2180	6829
121	2188	6779
122	2197	6735
123	2205	6688
124	2214	6642
125	2224	6602
126	2234	6561
127	2244	6522
128	2254	6483
129	2264	6444
130	2274	6408
131	2282	6364
132	2291	6323
133	2301	6285
134	2309	6243
135	2318	6205
136	2327	6167
137	2335	6127
138	2346	6093
139	2355	6057
140	2365	6023
141	2375	5989
142	2384	5953
143	2394	5918
144	2402	5881
145	2411	5847
146	2420	5812
147	2429	5778
148	2438	5744
149	2447	5710
150	2456	5678
151	2467	5648
152	2478	5621
153	2487	5589
154	2494	5552
155	2504	5523
156	2514	5494
157	2524	5463
158	2533	5432
159	2541	5401
160	2549	5368
161	2559	5341
162	2569	5313
163	2579	5284
164	2589	5256
165	2597	5227
166	2607	5200
167	2616	5171
168	2626	5144
169	2635	5116
170	2644	5088
171	2655	5064
172	2663	5035
173	2672	5007
174	2681	4980
175	2690	4952
176	2698	4924
177	2706	4895
178	2716	4870
179	2724	4843
180	2732	4816
181	2740	4789
182	2751	4765
183	2760	4741
184	2771	4718
185	2779	4692
186	2787	4666
187	2796	4641
188	2805	4616
189	2813	4590
190	2823	4567
191	2832	4543
192	2841	4519
193	2850	4496
194	2860	4473
195	2869	4451
196	2879	4428
197	2888	4406
198	2898	4383
199	2907	4360
200	2916	4338
201	2925	4315
202	2934	4293
203	2943	4271
204	2951	4247
205	2961	4226
206	2970	4204
207	2979	4183
208	2990	4163
209	3000	4143
210	3009	4122
211	3019	4101
212	3028	4080
213	3036	4057
214	3048	4040
215	3058	4021
216	3068	4002
217	3079	3983
218	3087	3961
219	3097	3941
220	3104	3919
221	3113	3898
222	3121	3877
223	3129	3856
224	3138	3835
225	3146	3814
226	3155	3795
227	3163	3774
228	3172	3754
229	3180	3733
230	3189	3713
231	3200	3696
232	3209	3678
233	3217	3657
234	3226	3638
235	3236	3620
236	3244	3600
237	3254	3582
238	3262	3562
239	3271	3543
240	3280	3525
241	3292	3509
242	3301	3491
243	3310	3473
244	3319	3454
245	3328	3436
246	3339	3420
247	3350	3404
248	3360	3387
249	3369	3369
250	3378	3351
251	3388	3334
252	3397	3317
253	3408	3300
254	3416	3282
255	3425	3264
256	3435	3248
257	3445	3232
258	3455	3215
259	3463	3197
260	3471	3179
261	3481	3163
262	3491	3146
263	3504	3132
264	3514	3116
265	3523	3099
266	3531	3081
267	3541	3065
268	3550	3048
269	3559	3031
270	3567	3014
271	3575	2996
272	3586	2982
273	3594	2964
274	3604	2948
275	3615	2934
276	3624	2918
277	3634	2902
278	3643	2885
279	3651	2869
280	3659	2852
281	3669	2836
282	3678	2820
283	3686	2803
284	3694	2787
285	3704	2771
286	3712	2755
287	3722	2739
288	3732	2725
289	3742	2710
290	3751	2694
291	3760	2678
292	3768	2662
293	3778	2647
294	3786	2631
295	3797	2616
296	3805	2601
297	3820	2589
298	3831	2575
299	3839	2559
300	3848	2544
301	3857	2528
302	3867	2514
303	3878	2500
304	3887	2485
305	3895	2469
306	3904	2454
307	3913	2439
308	3922	2424
309	3934	2411
310	3942	2395
311	3949	2379
312	3963	2367
313	3975	2354
314	3984	2340
315	3993	2325
316	4001	2310
317	4012	2296
318	4020	2281
319	4032	2268
320	4045	2255
321	4054	2241
322	4064	2227
323	4077	2214
324	4085	2200
325	4094	2185
326	4102	2170
327	4112	2156
328	4123	2143
329	4132	2128
330	4140	2114
331	4149	2099
332	4159	2086
333	4170	2072
334	4179	2058
335	4190	2045
336	4198	2030
337	4208	2017
338	4217	2002
339	4227	1989
340	4238	1976
341	4246	1961
342	4257	1948
343	4265	1934
344	4274	1920
345	4282	1906
346	4290	1891
347	4299	1877
348	4307	1863
349	4315	1849
350	4324	1835
351	4333	1821
352	4341	1807
353	4349	1793
354	4361	1781
355	4371	1768
356	4379	1754
357	4389	1741
358	4401	1728
359	4409	1714
360	4417	1701
361	4425	1687
362	4437	1674
363	4445	1660
364	4455	1647
365	4464	1634
366	4472	1620
367	4480	1607
368	4489	1593
369	4505	1582
370	4514	1569
371	4523	1556
372	4534	1543
373	4543	1530
374	4557	1519
375	4565	1505
376	4574	1492
377	4586	1480
378	4595	1467
379	4602	1453
380	4611	1440
381	4620	1427
382	4628	1413
383	4636	1400
384	4650	1389
385	4657	1375
386	4666	1362
387	4677	1350
388	4686	1337
389	4693	1323
390	4701	1310
391	4711	1298
392	4720	1285
393	4729	1272
394	4738	1259
395	4747	1246
396	4762	1235
397	4772	1223
398	4783	1210
399	4794	1198
400	4804	1186
401	4813	1173
402	4821	1160
403	4834	1148
404	4843	1136
405	4852	1123
406	4865	1111
407	4872	1098
408	4880	1085
409	4890	1073
410	4898	1060
411	4906	1047
412	4913	1034
413	4920	1022
414	4928	1009
415	4936	996
416	4945	984
417	4955	972
418	4962	959
419	4970	946
420	4978	934
421	4990	922
422	4998	909
423	5006	897
424	5013	884
425	5021	872
426	5029	859
427	5039	847
428	5048	835
429	5055	822
430	5062	810
431	5071	798
432	5078	785
433	5083	773
434	5088	760
435	5093	747
436	5102	735
437	5113	723
438	5122	711
439	5128	699
440	5136	687
441	5141	674
442	5145	662
443	5150	649
444	5155	637
445	5159	624
446	5164	612
447	5169	600
448	5173	587
449	5177	575
450	5181	562
451	5185	550
452	5188	538
453	5192	526
454	5197	513
455	5200	501
456	5204	489
457	5208	477
458	5212	465
459	5215	453
460	5219	441
461	5223	429
462	5227	417
463	5231	405
464	5235	394
465	5239	382
466	5243	370
467	5246	358
468	5250	347
469	5254	335
470	5258	323
471	5262	312
472	5266	300
473	5270	289
474	5274	277
475	5278	266
476	5282	254
477	5286	243
478	5290	231
479	5294	220
480	5299	209
481	5302	198
482	5306	186
483	5310	175
484	5314	164
485	5317	153
486	5320	142
487	5323	130
488	5326	119
489	5329	108
490	5332	97
491	5335	86
492	5337	75
493	5340	64
494	5344	53
495	5346	43
496	5349	32
497	5351	21
498	5353	10
499	5356	0
